Index,Date,Fever,Cough,Fatigue,Diarrhea,Headache
1,2009-01-04,62,68,34,46,49
2,2009-01-11,66,65,33,43,58
3,2009-01-18,67,63,36,45,53
4,2009-01-25,69,65,37,47,50
5,2009-02-01,67,65,37,47,52
6,2009-02-08,68,63,36,45,51
7,2009-02-15,65,62,39,47,53
8,2009-02-22,67,62,40,46,53
9,2009-03-01,64,62,40,48,53
10,2009-03-08,65,61,41,49,54
11,2009-03-15,66,60,42,46,56
12,2009-03-22,61,60,43,48,56
13,2009-03-29,61,58,42,47,54
14,2009-04-05,61,57,41,48,53
15,2009-04-12,60,56,40,49,54
16,2009-04-19,60,56,43,49,55
17,2009-04-26,100,57,44,50,52
18,2009-05-03,73,54,43,49,52
19,2009-05-10,67,51,44,49,53
20,2009-05-17,76,52,42,49,54
21,2009-05-24,65,51,43,52,52
22,2009-05-31,64,48,43,49,52
23,2009-06-07,66,46,43,51,52
24,2009-06-14,70,49,45,51,52
25,2009-06-21,67,47,41,52,52
26,2009-06-28,69,47,40,52,50
27,2009-07-05,66,45,43,54,53
28,2009-07-12,70,47,44,55,52
29,2009-07-19,71,47,44,54,54
30,2009-07-26,69,47,42,55,55
31,2009-08-02,69,45,41,55,57
32,2009-08-09,78,48,44,58,58
33,2009-08-16,70,47,42,57,55
34,2009-08-23,72,47,43,56,55
35,2009-08-30,69,49,42,53,56
36,2009-09-06,70,53,41,51,58
37,2009-09-13,71,56,42,52,56
38,2009-09-20,71,59,44,52,58
39,2009-09-27,72,62,42,49,57
40,2009-10-04,73,65,45,51,56
41,2009-10-11,75,69,44,50,57
42,2009-10-18,82,74,43,51,61
43,2009-10-25,89,82,45,51,59
44,2009-11-01,94,83,42,51,61
45,2009-11-08,91,84,42,58,60
46,2009-11-15,89,82,43,51,61
47,2009-11-22,81,79,40,50,54
48,2009-11-29,72,75,39,50,55
49,2009-12-06,69,72,40,49,52
50,2009-12-13,63,69,35,47,49
51,2009-12-20,62,70,30,49,47
52,2009-12-27,63,73,33,57,52
