Date,Fever,Cough,Fatigue,Diarrhea,Headache
2019-06-02,31,37,20,33,32
2019-06-09,33,37,20,34,33
2019-06-16,36,38,21,34,34
2019-06-23,34,36,20,35,34
2019-06-30,33,34,20,36,32
2019-07-07,32,34,20,35,33
2019-07-14,32,34,20,35,34
2019-07-21,33,34,20,36,35
2019-07-28,33,34,21,36,36
2019-08-04,33,33,20,36,35
2019-08-11,32,33,20,36,35
2019-08-18,33,35,21,36,36
2019-08-25,35,36,20,35,35
2019-09-01,33,36,20,33,34
2019-09-08,34,38,21,32,35
2019-09-15,35,42,21,33,35
2019-09-22,34,43,20,32,35
2019-09-29,34,43,20,32,34
2019-10-06,34,44,20,31,35
2019-10-13,35,44,20,31,35
2019-10-20,35,47,19,31,36
2019-10-27,34,47,19,31,35
2019-11-03,36,47,20,32,36
2019-11-10,35,49,19,32,34
2019-11-17,35,51,19,31,34
2019-11-24,35,51,18,30,33
2019-12-01,36,50,18,30,33
2019-12-08,38,53,18,31,34
2019-12-15,40,57,18,32,34
2019-12-22,45,64,17,35,36
2019-12-29,43,65,17,37,37
2020-01-05,40,57,19,35,38
2020-01-12,41,53,20,33,37
2020-01-19,44,54,20,33,36
2020-01-26,48,61,19,34,38
2020-02-02,48,58,20,33,37
2020-02-09,44,56,20,32,37
2020-02-16,44,54,20,33,38
2020-02-23,49,59,20,34,38
2020-03-01,52,61,20,34,39
2020-03-08,74,78,21,38,42
2020-03-15,98,100,19,42,49
2020-03-22,84,89,19,39,50
2020-03-29,62,67,20,36,48
2020-04-05,52,55,19,32,47
2020-04-12,44,45,19,31,45
2020-04-19,41,38,19,30,44
2020-04-26,38,33,20,30,43
2020-05-03,36,30,20,30,42
2020-05-10,36,28,20,30,41
2020-05-17,35,27,20,30,40
2020-05-24,36,26,20,34,41
